sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.4972;-8.6054;3.5937;-4.0822;-7.9613;4.0154;1.3571;-0.2327;-0.2144;0.0244;0.6378;0.2614;0.0;-10.75;42.5;-14.69;41.62;55.94;39.5;0.0;989.63;61.949;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;22514;2022-11-02 20:42:29:829
-3.1436;-7.5471;4.5346;-4.061;-7.7992;4.3417;0.891;-0.197;0.628;0.0854;-0.0012;-0.0369;0.27;1.04;40.41;-22.68;55.37;52.68;43.09;0.0;989.79;63.765;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;23015;2022-11-02 20:42:30:330
-3.0311;-8.9453;4.3096;-1.9311;-8.9963;3.3923;-0.5094;0.1149;-0.2956;-0.6201;-0.6887;-0.4888;0.0;-0.28;41.04;-20.76;67.34;60.62;33.14;0.0;989.56;60.252;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;23515;2022-11-02 20:42:30:830
-1.6616;-10.0227;3.6081;0.0777;-9.4676;2.5553;-1.4023;0.1532;1.3056;-0.1406;-0.6706;-0.7634;0.0;-12.04;43.54;-9.88;82.84;74.89;-1.74;0.0;989.59;62.858;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;24014;2022-11-02 20:42:31:329
-2.7126;-9.6349;4.1204;-1.5656;-9.057;3.4192;0.7684;0.3952;-0.3003;0.538;0.741;0.5478;0.4063;-19.54;42.79;-6.71;49.06;67.45;24.6;0.0;989.62;69.532;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;24514;2022-11-02 20:42:31:829
-3.7709;-8.4809;4.3646;-4.4055;-7.9149;3.7572;0.6866;-0.2076;0.2247;-0.1099;0.3997;0.3691;0.0;-6.71;42.09;-18.28;42.84;53.81;49.54;0.0;989.71;65.835;35.94244;-84.16517;885.25;NaN;;0.0;23.61894;;8 / 19;25014;2022-11-02 20:42:32:329
-2.8299;-8.1624;4.3263;-3.4437;-8.1167;4.293;0.4508;0.0235;0.0464;-0.0314;-0.1567;-0.2245;0.0;0.73;41.44;-21.37;51.54;54.43;43.23;0.0;989.77;69.083;35.94244;-84.165184;875.31;NaN;;0.0;27.058195;;8 / 19;25515;2022-11-02 20:42:32:830
-1.5706;-8.0284;3.0813;-0.572;-9.2354;3.2481;-1.263;-0.5902;0.6074;-0.1178;-0.5928;-0.6752;0.0;-5.29;42.54;-17.51;79.84;68.07;19.93;0.0;989.54;62.156;35.94244;-84.165184;875.31;NaN;;0.0;27.058195;;8 / 19;26015;2022-11-02 20:42:33:330
-0.4908;-11.3826;2.7294;0.3378;-9.346;2.9512;-1.0266;-1.2962;0.0409;0.2024;0.5404;-0.1202;0.0;-18.14;43.24;-7.03;75.41;72.37;-6.53;0.0;989.59;60.275;35.94244;-84.165184;875.31;NaN;;0.0;27.058195;;8 / 19;26514;2022-11-02 20:42:33:829
-2.0542;-7.9182;4.1324;-2.7584;-8.6804;3.6349;0.9068;-0.9297;0.0261;0.7647;1.3587;0.198;0.0;-14.37;43.93;-8.52;37.51;62.27;37.19;0.0;989.61;69.942;35.94244;-84.165184;875.31;NaN;;0.0;27.058195;;8 / 19;27014;2022-11-02 20:42:34:329
