sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.2546;-9.2012;0.9098;-0.9072;-9.4708;-2.377;4.4171;-0.2044;3.4137;1.7853;2.0354;0.0426;16.0;-9.84;36.66;-10.8;347.98;61.47;162.72;5.0;989.65;64.862;;;;NaN;;;;;0 / 0;25013;2022-11-01 13:58:42:531
-0.4405;-13.7933;-0.6584;-1.1139;-9.28;-2.9685;-3.7511;-3.0457;1.0651;-2.5573;-0.4685;-0.7314;16.0;-0.54;35.58;-16.02;89.46;80.14;63.99;5.0;988.99;61.151;;;;NaN;;;;;0 / 0;25512;2022-11-01 13:58:43:030
-7.1207;-2.0614;5.9307;-2.5954;-7.8559;-5.2648;4.8077;1.4703;5.8753;0.1305;1.5999;-0.25;16.0;-6.36;37.56;5.1;336.31;60.13;154.5;5.0;990.46;63.911;;;;NaN;;;;;0 / 0;26013;2022-11-01 13:58:43:531
4.1013;-12.7925;-0.012;-1.3135;-9.6935;0.6939;5.4746;-2.3712;-3.7609;-2.3282;-0.1008;0.4708;16.0;1.2;28.14;-29.64;133.62;81.91;42.52;5.0;989.32;63.83;;;;NaN;;;;;0 / 0;26512;2022-11-01 13:58:44:030
-0.8954;-3.4644;-0.644;-2.1261;-8.5187;-4.3683;-3.6227;-10.9851;-6.2;-0.1163;-0.9175;0.2363;16.0;-6.06;37.74;0.42;348.26;49.28;157.0;5.0;989.28;64.619;;;;NaN;;;;;0 / 0;27013;2022-11-01 13:58:44:531
1.0247;-8.7703;-1.0056;-0.4449;-9.7884;-0.3988;0.6867;1.7604;0.8249;1.767;0.8051;0.4067;16.0;-4.98;33.42;-22.68;3.12;76.82;163.7;5.0;989.07;62.734;;;;NaN;;;;;0 / 0;27514;2022-11-01 13:58:45:032
-0.5387;-6.9722;-0.5171;-1.2582;-8.1909;-5.2437;1.6437;0.9337;4.6907;-2.1548;-2.2016;-0.1199;16.0;-3.9;38.58;-2.16;347.69;73.15;161.03;5.0;989.0;59.36;;;;NaN;;;;;0 / 0;28013;2022-11-01 13:58:45:531
3.4093;-8.8301;1.0894;-1.6561;-8.6069;-4.3987;9.6578;-3.6422;5.9789;2.2276;2.7978;-1.2561;16.0;-5.64;38.76;1.02;346.75;54.87;149.97;5.0;990.01;62.623;;;;NaN;;;;;0 / 0;28513;2022-11-01 13:58:46:031
3.3399;-13.731;-1.8555;-1.5151;-9.6277;1.087;3.057;-4.0507;-2.3894;-1.5934;-0.2926;0.0585;16.0;3.84;28.5;-31.62;134.36;80.87;46.51;5.0;989.35;62.853;;;;NaN;;;;;0 / 0;29014;2022-11-01 13:58:46:532
-4.2449;-23.3225;-11.3249;-2.5926;-8.055;-4.9564;-1.5063;-4.0839;3.4649;-0.4132;-0.1368;-0.2848;16.0;-5.1;39.96;4.02;341.96;59.31;156.28;5.0;990.33;67.763;;;;NaN;;;;;0 / 0;29513;2022-11-01 13:58:47:031
-0.3926;-8.6649;-0.7877;-1.2387;-9.6771;0.9948;8.1056;-1.3389;-2.8311;0.4787;0.5815;0.4305;16.0;-0.12;32.94;-28.8;47.81;86.03;128.91;5.0;989.22;62.389;;;;NaN;;;;;0 / 0;30013;2022-11-01 13:58:47:531
-0.3926;-5.7248;0.8906;-2.5812;-7.4924;-5.7768;1.6427;3.2618;5.9779;0.902;-0.8448;-0.9048;16.0;-2.82;40.68;9.78;341.3;55.3;165.44;5.0;989.51;66.955;;;;NaN;;;;;0 / 0;30512;2022-11-01 13:58:48:030
1.4724;-9.1031;-1.0367;-0.4146;-9.5173;-2.328;1.164;1.1899;2.0622;1.2166;2.2315;0.2191;16.0;-10.32;39.9;-10.98;346.61;62.88;166.28;5.0;989.38;66.137;;;;NaN;;;;;0 / 0;31013;2022-11-01 13:58:48:531
-3.4189;-11.3823;-1.7645;-1.0776;-9.315;-2.8705;-3.0477;-3.4991;1.1993;-2.531;-1.0953;-0.8083;16.0;3.06;41.04;-15.84;107.72;81.22;60.98;5.0;989.04;60.414;;;;NaN;;;;;0 / 0;31513;2022-11-01 13:58:49:031
3.3399;-18.2253;2.6336;-2.8341;-8.0784;-4.7831;-2.2539;-3.7708;1.7448;-0.0858;0.3335;-0.2928;16.0;-2.82;42.78;7.38;341.73;59.44;153.32;5.0;990.49;62.085;;;;NaN;;;;;0 / 0;32013;2022-11-01 13:58:49:531
6.9387;-11.4422;0.3112;-1.4579;-9.6477;0.9828;4.0293;-4.1767;-2.4911;-1.4712;0.1136;0.4659;16.0;2.28;34.74;-30.48;132.2;81.66;44.09;5.0;989.38;64.801;;;;NaN;;;;;0 / 0;32513;2022-11-01 13:58:50:031
-0.4693;-3.699;-0.6584;-2.0875;-8.4604;-4.4982;-3.6446;-4.5212;-4.2601;0.753;-0.7844;-0.3532;16.0;-4.8;43.02;4.68;345.81;49.24;155.56;5.0;989.38;69.826;;;;NaN;;;;;0 / 0;33012;2022-11-01 13:58:50:530
0.34;-10.2738;0.5435;-0.4474;-9.791;-0.3275;0.8544;0.0894;2.1543;1.8971;0.8705;0.4867;16.0;-8.34;39.72;-20.76;356.43;76.28;164.12;5.0;989.16;62.391;;;;NaN;;;;;0 / 0;33513;2022-11-01 13:58:51:031
-0.1963;-6.3306;0.0431;-1.2212;-8.0075;-5.528;1.0225;1.313;5.5471;-2.0705;-2.2321;-0.1223;16.0;-5.1;43.74;2.64;336.07;71.47;160.54;5.0;988.92;64.336;;;;NaN;;;;;0 / 0;34013;2022-11-01 13:58:51:531
-1.4748;-5.6817;-0.2131;-0.9939;-8.8741;-4.0538;6.1872;-0.7006;4.6236;1.9692;0.1277;-0.8987;16.0;-8.94;42.9;0.12;343.33;55.38;155.97;5.0;989.47;68.616;;;;NaN;;;;;0 / 0;34513;2022-11-01 13:58:52:031
-4.4412;-11.356;-1.0223;-1.4712;-9.6898;0.3374;0.5063;-3.0453;-1.5992;-2.8585;-0.595;-0.3135;16.0;1.62;35.7;-28.68;120.51;80.2;52.49;5.0;989.41;60.326;;;;NaN;;;;;0 / 0;35013;2022-11-01 13:58:52:531
-3.5171;-16.9013;-10.1852;-2.3846;-8.0754;-5.027;1.5322;-6.7237;10.4358;0.4262;2.1276;-0.0325;16.0;-7.08;42.0;7.68;330.01;60.68;153.86;5.0;990.46;65.783;;;;NaN;;;;;0 / 0;35516;2022-11-01 13:58:53:034
0.6009;-8.9187;-2.0279;-1.0064;-9.6844;1.1702;8.1702;-3.4218;-1.7305;0.4225;0.5424;0.1739;16.0;-1.68;35.16;-32.04;66.43;88.2;108.2;5.0;989.21;61.436;;;;NaN;;;;;0 / 0;36013;2022-11-01 13:58:53:531
-2.1332;-2.8659;-2.6217;-2.5489;-7.5904;-5.6621;1.5985;4.0589;5.0899;1.3418;-0.5003;-0.9384;16.0;-4.74;42.96;8.76;340.52;52.21;164.01;5.0;989.5;67.012;;;;NaN;;;;;0 / 0;36513;2022-11-01 13:58:54:031
-0.8452;-7.8509;-0.3136;-0.5559;-9.6007;-1.9202;0.8432;1.1178;1.1205;1.5776;2.2791;-0.0637;16.0;-12.42;40.86;-15.3;347.23;66.65;163.91;5.0;989.52;60.259;;;;NaN;;;;;0 / 0;37012;2022-11-01 13:58:54:530
-0.2801;-11.8588;-0.4621;-0.8921;-9.0342;-3.709;-2.0408;-2.2523;2.342;-2.396;-1.8772;-1.0734;16.0;-3.18;42.6;-13.98;48.38;82.12;101.78;5.0;988.93;56.635;;;;NaN;;;;;0 / 0;37513;2022-11-01 13:58:55:031
-4.1611;-5.3226;-6.7065;-2.455;-8.2857;-4.6357;-3.3919;-17.8192;3.3787;-0.3777;-1.0782;0.2295;16.0;-8.58;42.72;3.18;339.02;57.69;151.62;5.0;990.48;67.115;;;;NaN;;;;;0 / 0;38012;2022-11-01 13:58:55:530
-2.0782;-12.7734;-3.8068;-1.3452;-9.6772;0.8437;3.263;-4.6165;-2.8548;-1.6697;-0.2492;0.2912;16.0;1.08;32.34;-30.78;130.22;82.64;45.57;5.0;989.31;55.038;;;;NaN;;;;;0 / 0;38513;2022-11-01 13:58:56:031
-1.9513;-5.2628;-6.3737;-1.9746;-8.7337;-3.9992;-4.0352;-13.9352;-3.428;0.3571;-1.5522;0.2527;16.0;-6.6;42.6;-2.52;350.98;49.23;155.61;5.0;989.46;65.386;;;;NaN;;;;;0 / 0;39013;2022-11-01 13:58:56:531
1.7502;-10.3193;-3.4524;-0.5908;-9.7888;-0.0327;2.1327;1.8493;-1.004;1.9833;1.0825;0.3725;16.0;-3.54;36.36;-25.5;5.85;76.96;163.34;5.0;989.25;60.798;;;;NaN;;;;;0 / 0;39513;2022-11-01 13:58:57:031
-0.1245;-3.9624;0.3687;-2.5468;-7.8157;-5.3478;1.7663;5.0624;4.1315;1.7084;-0.6811;-1.1443;16.0;-1.38;42.96;4.86;353.59;52.55;161.41;5.0;989.21;67.19;;;;NaN;;;;;0 / 0;40015;2022-11-01 13:58:57:533
0.9337;-9.4789;-0.1484;-0.4611;-9.7109;-1.2866;0.8825;1.204;0.9394;1.6247;2.6811;-0.079;16.0;-6.48;40.8;-18.18;357.16;70.04;166.33;5.0;989.16;59.523;;;;NaN;;;;;0 / 0;40513;2022-11-01 13:58:58:031
